"Date","Total Viewers","New Viewers","Returning Viewers"
"November 1","570","308","262"
"November 2","431","245","186"
"November 3","431","194","237"
"November 4","456","285","171"
"November 5","459","262","197"
"November 6","432","217","215"
"November 7","678","393","285"
"November 8","557","243","314"
"November 9","692","369","323"
"November 10","651","345","306"
"November 11","666","365","301"
"November 12","476","230","246"
"November 13","606","294","312"
"November 14","614","312","302"
"November 15","552","245","307"
"November 16","526","318","208"
"November 17","475","278","197"
"November 18","566","283","283"
"November 19","532","213","319"
"November 20","417","249","168"
"November 21","542","295","247"
"November 22","483","237","246"
"November 23","539","242","297"
"November 24","512","257","255"
"November 25","462","258","204"
"November 26","617","309","308"
"November 27","573","275","298"
"November 28","520","238","282"
"November 29","532","281","251"
"November 30","662","386","276"
