"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Shares,"Approximate content monetization earnings","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, Comments and Shares",Reactions,Comments,"Seconds viewed","Average Seconds viewed"
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/01/2023,0,,0,0,0,0,0,0,0,0,0,0.000,4.510
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/02/2023,0,,0,0,0,0,0,0,0,0,0,0.000,3.265
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/03/2023,0,,0,0,0,0,0,0,0,0,0,0.000,2.566
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/04/2023,0,,0,0,0,0,0,0,0,0,0,0.000,2.983
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/05/2023,0,,0,0,0,0,0,0,0,0,0,0.000,1.714
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/06/2023,0,,0,0,0,0,0,0,0,0,0,0.000,2.735
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/07/2023,0,,0,0,0,0,0,0,0,0,0,0.000,3.593
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/08/2023,0,,0,0,0,0,0,0,0,0,0,0.000,2.359
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/09/2023,0,,0,0,0,0,0,0,0,0,0,0.000,3.639
987345394593920,100064197037125,"PC Merchandise","Paano kung sabihin ko sayo na kaya mo na mag GTX 1660S build under budget? 👀",,61,"01/31/2023 22:15",,https://www.facebook.com/pcmerchandise.co/videos/2844072631578318/,0,0,Videos,,,,,01/10/2023,0,,0,0,0,0,0,0,0,0,0,0.000,2.749
