"Date","Total Viewers","New Viewers","Returning Viewers"
"October 1","567","349","218"
"October 2","593","283","310"
"October 3","557","291","266"
"October 4","723","462","261"
"October 5","483","301","182"
"October 6","493","236","257"
"October 7","504","268","236"
"October 8","614","317","297"
"October 9","667","391","276"
"October 10","864","478","386"
"October 11","565","266","299"
"October 12","547","257","290"
"October 13","534","270","264"
"October 14","423","209","214"
"October 15","615","318","297"
"October 16","504","288","216"
"October 17","625","314","311"
"October 18","417","252","165"
"October 19","332","232","100"
"October 20","432","243","189"
"October 21","495","239","256"
"October 22","418","210","208"
"October 23","631","326","305"
"October 24","453","242","211"
"October 25","519","230","289"
"October 26","539","231","308"
"October 27","386","218","168"
"October 28","351","186","165"
"October 29","491","250","241"
"October 30","659","365","294"
"October 31","554","336","218"
