post_id,category
1266722378810985,testimonial
1266983535451536,product_showcase
1271198315030058,testimonial
1273498368133386,product_showcase
1276350901181466,testimonial
1276404594509430,promotional_offer
1277270897756133,product_showcase
1279445524205337,testimonial
1280966400719916,testimonial
1281882123961677,testimonial
1284082367074986,testimonial
1287674216715801,testimonial
1288627003287189,product_showcase
1289490139867542,product_showcase
1290247579791798,testimonial
1290977283052161,product_showcase
1292336502916239,testimonial
1294446116038611,product_showcase
1296245719191984,product_showcase
1298760852273804,product_showcase
1299406502209239,testimonial
1300488628767693,product_showcase
1308199991329890,product_showcase
1309568961192993,product_showcase
1312156834267539,product_showcase
1312323487584207,testimonial
1314679107348645,product_showcase
1315660580583831,promotional_offer
1316986107117945,product_showcase
1317085680441321,product_showcase
1317819997034556,product_showcase
1318711173612105,product_showcase
1319207413562481,entertainment
1320704723412750,entertainment
1321546473328575,product_showcase
1322355839914305,testimonial
1322440046572551,testimonial
1322551969894692,promotional_offer
1324121183071104,product_showcase
1324519223031300,product_showcase
1325451782938044,entertainment
1326417062841516,promotional_offer
1326537756162780,product_showcase
1327191512764071,product_showcase
1329524742530748,testimonial
1329741189175770,product_showcase
1329872995829256,product_showcase
1330342272448995,product_showcase
1332184478931441,entertainment
1333113368838552,product_showcase
1333932592089963,product_showcase
1334065662076656,promotional_offer
1334198315396724,product_showcase
1335517125264843,product_showcase
1337150305101525,entertainment
1337295238420365,unclear
1338125995003956,product_showcase
1341358711347351,testimonial
1347369067412982,product_showcase
1347604680722754,product_showcase
1347693640713858,product_showcase
1349111657238723,product_showcase
1349185380564684,testimonial
1350031010480121,testimonial
1353952096754679,product_showcase
1356122599870962,entertainment
1359730319510190,product_showcase
1363926505757238,product_showcase
1364041585745730,product_showcase
1364814835668405,product_showcase
1368702035279685,testimonial
1369571861859369,product_showcase
1369693038513918,product_showcase
1371235208359701,product_showcase
1375262714623617,unclear
1378816320934923,product_showcase
1382794167203805,product_showcase
1384450270371528,testimonial
1385407833609105,product_showcase
1389707319845823,testimonial
1390728109743744,product_showcase
1393532629463292,product_showcase
1393972786085943,product_showcase
1396081885875033,product_showcase
1396736575809564,product_showcase
1396909755792246,product_showcase
1397440109072544,product_showcase
1397701329046422,entertainment
1397849755698246,product_showcase
1398356708980884,product_showcase
1402815308535024,testimonial
1403773908439164,unclear
1406194888197066,product_showcase
1407063418110213,entertainment
1409649697851585,product_showcase
1410420684441153,product_showcase
1411972634285958,testimonial
1412097490940139,testimonial
1412166844266537,product_showcase
1412237094259512,testimonial
1412607597555795,product_showcase
1418113643671857,entertainment
1420920326724522,unclear
1421552876661267,testimonial
1423339216482633,unclear
1425064469643441,unclear
1427037626112792,testimonial
1427232559426632,testimonial
1429023925914162,product_showcase
1429834469166441,unclear
1434623175354237,product_showcase
1435944225222132,unclear
1143183467831544,product_showcase
1146260720857152,testimonial
1151882130295011,promotional_offer
1152671320216092,testimonial
1153511516798739,promotional_offer
1158327189650505,testimonial
1159153516234539,product_showcase
1159335216216369,product_showcase
1160898422726715,product_showcase
1163352475814643,testimonial
1164213689061855,product_showcase
1165122022304355,product_showcase
1165187055631185,product_showcase
1166514915498399,testimonial
1167151252101432,product_showcase
1168884021928155,promotional_offer
1168902878592936,entertainment
1169543915195499,testimonial
1169610545188836,promotional_offer
1170313505118540,product_showcase
1174126738070550,product_showcase
1175044027978821,product_showcase
1177366561079901,testimonial
1177456964404194,product_showcase
1178326577650566,product_showcase
1179039290912628,product_showcase
1183961107087113,product_showcase
1184203900396167,product_showcase
1184848593665031,product_showcase
1185682600248297,product_showcase
1185783426904881,product_showcase
1186518153498075,product_showcase
1188207516662472,testimonial
1189181123231778,testimonial
1189816669834890,product_showcase
1192762062873684,product_showcase
1193633492786541,product_showcase
1196067819209775,product_showcase
1197202992429591,product_showcase
1198812655601958,product_showcase
1198817668934790,testimonial
1201825341967356,promotional_offer
1201860801963810,product_showcase
1202969798519577,unclear
1204464478370109,product_showcase
1204546708361886,testimonial
1206199891529901,product_showcase
1206425794840644,unclear
1207039404779283,testimonial
1207971481352742,product_showcase
1208663881283502,testimonial
1214653084017915,testimonial
1215500773933146,testimonial
1216352837181273,testimonial
1217255067091050,testimonial
1220465756769981,product_showcase
1221317870018103,product_showcase
1222392676577289,testimonial
1222433329906557,promotional_offer
1222595003223723,product_showcase
1223246753158548,product_showcase
1223327533150470,product_showcase
1224149839734906,product_showcase
1225041766312380,product_showcase
1225832726233284,product_showcase
1226704579479432,product_showcase
1226786439471246,product_showcase
1228902869259603,testimonial
1230513702431853,testimonial
1231262462356977,testimonial
1231621352321088,product_showcase
1235412745275282,product_showcase
1236234071859816,promotional_offer
1237102245106332,product_showcase
1237762878373602,product_showcase
1237857465030810,product_showcase
1238554511627772,product_showcase
1242392411243982,promotional_offer
1244410681042155,entertainment
1249336643882892,testimonial
1253204866829403,product_showcase
1253720680111155,testimonial
1258876692928887,entertainment
1259629739520249,testimonial
1261957819287441,testimonial
1262416722574884,testimonial
1263768409106382,testimonial
1264613832355173,testimonial
