"Date","Followers","Difference in followers from previous day"
"October 1","21203","3"
"October 2","21206","-6"
"October 3","21200","3"
"October 4","21203","3"
"October 5","21206","3"
"October 6","21209","-10"
"October 7","21199","3"
"October 8","21202","3"
"October 9","21205","4"
"October 10","21209","7"
"October 11","21216","2"
"October 12","21218","2"
"October 13","21220","3"
"October 14","21223","2"
"October 15","21225","2"
"October 16","21227","5"
"October 17","21232","4"
"October 18","21236","3"
"October 19","21239","3"
"October 20","21242","4"
"October 21","21246","3"
"October 22","21249","2"
"October 23","21251","4"
"October 24","21255","2"
"October 25","21257","3"
"October 26","21260","3"
"October 27","21263","2"
"October 28","21265","2"
"October 29","21267","2"
"October 30","21269","2"
"October 31","21271","1"
