post_id,category,note
1168834171933140,testimonial,
1192508222899068,product_showcase,
1190715059745051,testimonial,
1189879309828626,product_showcase,
1189042296578994,product_showcase,
1188977819918775,product_showcase,
1188145596668664,product_showcase,
1188055640010993,unclear,store announcement
1187503183399572,product_showcase,
1187341833415707,product_showcase,
1186622053487685,product_showcase,
1186455616837662,product_showcase,
1185918870224670,product_showcase,
1185563300260227,product_showcase,
1185090406974183,product_showcase,
1184952953654595,product_showcase,
1184063137076910,product_showcase,
1183884443761446,unclear,bare emoji
1183190437164180,product_showcase,
1183086920507865,promotional_offer,
1182958737187350,product_showcase,
1182485540568003,product_showcase,
1182341897249034,product_showcase,
1182119700604587,product_showcase,
1178866417596582,testimonial,
1178101984339692,product_showcase,
1178045487678675,testimonial,
1177386214411269,product_showcase,
1176698834480007,product_showcase,
1176565401160017,product_showcase,
1176557267827497,product_showcase,
1175756224574268,product_showcase,
1175752407907983,testimonial,
1174914171325140,product_showcase,
1174911201325437,testimonial,
1174234438059780,testimonial,
1174130591403498,product_showcase,
1173604571456100,product_showcase,
1173278998155324,testimonial,
1172666088216615,product_showcase,
1172535628229661,promotional_offer,
1172509058232318,testimonial,
1171980594951831,product_showcase,
1171860068297217,product_showcase,
1171856711630886,testimonial,
1171104225039468,product_showcase,
1171101005039790,testimonial,
1170452578437966,product_showcase,
1170300058453218,testimonial,
1169636221852935,product_showcase,
1169572828525941,product_showcase,
1168945248588699,product_showcase,
1167917848691439,product_showcase,
1167150692101488,product_showcase,
1166585345491356,entertainment,Rule 4
1165771252239432,testimonial,
1164997688983455,testimonial,
1164256579057566,product_showcase,
1163388009144423,testimonial,
1160823646067526,product_showcase,
1160115492805008,product_showcase,
1159977542818803,testimonial,
1159254506224440,product_showcase,
1158533912963166,product_showcase,
1157674446382446,product_showcase,
1157564366393454,testimonial,
1154401640043060,product_showcase,
1154356133380944,testimonial,
1153653996784491,product_showcase,
1153456963470861,testimonial,
1152732216876669,product_showcase,
1151998363616721,promotional_offer,
1151920496957841,product_showcase,
1151856600297564,promotional_offer,
1151841726965718,product_showcase,
1150125677137323,product_showcase,
1149526623863895,product_showcase,
1149359147213976,testimonial,
1148717527278138,testimonial,
1148682687281622,promotional_offer,
1148597307290160,testimonial,
1147807227369168,testimonial,
1147051864111371,product_showcase,
1145399880943236,testimonial,
1144657814350776,product_showcase,
1144620944354463,testimonial,
1143992261083998,product_showcase,
1142974524519105,product_showcase,
1219591413524082,product_showcase,
1219515010198389,product_showcase,
1218825386934018,product_showcase,
1218720250277865,product_showcase,
1218666400283250,testimonial,
1217968050353085,product_showcase,
1217918433691380,testimonial,
1217309447085612,product_showcase,
1216514657165091,testimonial,Rule 2
1216410227175534,testimonial,Rule 2
1215551980594692,promotional_offer,
1214808560669034,testimonial,
1214704734012750,product_showcase,
1213830027433554,product_showcase,
1213768400773050,testimonial,
1213035010846389,product_showcase,
1212929304190293,product_showcase,
1212843874198836,testimonial,
1212795134203710,promotional_offer,
1212733830876507,entertainment,
1212267404256483,entertainment,
1212159540933936,testimonial,
1212046810945209,testimonial,
1211988694284354,promotional_offer,
1211387877677769,product_showcase,
1211229537693603,testimonial,
1211164517700105,promotional_offer,
1209773441172546,entertainment,
1208730927943464,product_showcase,
1207929281356962,product_showcase,
1207843591365531,testimonial,
1207840038032553,product_showcase,
1205287338287823,product_showcase,
1204495055033718,testimonial,
1203838338432723,entertainment,
1203624918454065,product_showcase,
1203572058459351,testimonial,
1202838145199409,product_showcase,
1202746635208560,product_showcase,
1202684461881444,testimonial,
1201763368640220,testimonial,
1200856145397609,product_showcase,
1200755325407691,product_showcase,
1199856442164246,product_showcase,
1199817472168143,product_showcase,
1199760435507180,product_showcase,
1198978612252029,product_showcase,
1198118249004732,product_showcase,
1197976795685544,product_showcase,
1197870012362889,product_showcase,
1197063945776829,product_showcase,
1196952849121272,product_showcase,
1196325639183993,product_showcase,
1196172972532593,product_showcase,
1195439259272631,product_showcase,
1195289015954322,product_showcase,
1195181999298357,product_showcase,
1195056362644254,product_showcase,
1194559876027236,product_showcase,
1194303779386179,product_showcase,
1193480832801807,product_showcase,
1193372142812676,product_showcase,
1416434237173131,promotional_offer,
1417070430442845,product_showcase,
1419720480177840,product_showcase,
1420839620065926,entertainment,
1422214166595138,product_showcase,
1422368296579725,product_showcase,
1423290013154220,testimonial,
1423917539758134,testimonial,
1425000832983138,testimonial,
1425502509599637,entertainment,
1425627012920520,testimonial,
1426414006175154,product_showcase,
1427101452773076,unclear,empty caption
1427307312752490,product_showcase,
1428091949340693,testimonial,
1428195505997004,product_showcase,
1428862999263588,testimonial,
1428954189254469,unclear,store announcement
1429606242522597,testimonial,
1429765559173332,product_showcase,
1430249879124900,product_showcase,
1430588699091018,product_showcase,
1431120709037817,testimonial,
1432086932274528,testimonial,Rule 2
1432906805525874,entertainment,Rule 4
1433640675452487,testimonial,
1433810238768864,product_showcase,
1434519902031231,testimonial,
1435333448616543,testimonial,
1436835908466297,testimonial,
1437612171722004,testimonial,
1438678274948727,testimonial,Rule 2
1438793414937213,product_showcase,
1439449481538273,testimonial,
1439591281524093,product_showcase,
1440342761448945,testimonial,
1440488374767717,product_showcase,
1416364590513429,testimonial,
1413681087448446,testimonial,
1413032350846653,testimonial,
1412931797523375,testimonial,
1412839340865954,product_showcase,
1411892660960622,testimonial,
1411327657683789,entertainment,
1411292331020655,product_showcase,
1411155464367675,testimonial,Rule 2
1410611964422025,entertainment,
1410526874430534,unclear,placeholder title
1410458331104055,testimonial,
1410289607787594,testimonial,
1409580194525202,testimonial,
1409426331207255,testimonial,
1408906847925870,unclear,placeholder title
1408870157929539,promotional_offer,
1408588434624378,testimonial,
1407745551375333,testimonial,
1406910128125542,promotional_offer,
1405167611633127,product_showcase,
1404645728351982,entertainment,
1404346838381871,testimonial,
1403818335101388,product_showcase,
1403770265106195,product_showcase,
1403671631782725,testimonial,
1403654955117726,promotional_offer,Rule 1
1403502448466310,product_showcase,
1402924241857464,product_showcase,
1401245172025371,product_showcase,
1400894248727130,product_showcase,
1400854022064486,promotional_offer,
1400348778781677,entertainment,Rule 4
1399982212151667,unclear,placeholder title
1399493818867173,product_showcase,
1399196035563618,product_showcase,
1398629828953572,product_showcase,
1396777929138762,testimonial,
1395749495908272,product_showcase,
1395200622629826,product_showcase,
1394860862663802,product_showcase,
1394366539379901,testimonial,
1393454469471108,product_showcase,
1392585999557955,product_showcase,
1391528289663726,testimonial,
1390606406422581,product_showcase,
1390493489767206,product_showcase,
1362248909258331,product_showcase,
1360322152784340,unclear,placeholder title
1359618532854702,testimonial,
1358997329583489,entertainment,
1358911819592040,product_showcase,
1358053319677890,entertainment,
1357311296418759,product_showcase,
1357184879764734,product_showcase,
1356476979835524,promotional_offer,Rule 1
1356356519847570,entertainment,
1355607626589126,product_showcase,
1355547799928442,product_showcase,
1354070553409500,product_showcase,
1352509170232305,product_showcase,
1352398823576673,product_showcase,
1352298050253417,testimonial,
1351610023655553,product_showcase,
1351508840332338,testimonial,
1350829597066929,product_showcase,
1350759370407285,entertainment,
1350560767093812,promotional_offer,
1350545390428683,unclear,store announcement
1349927093823846,product_showcase,
1346836214132934,entertainment,Rule 4
1346718950811327,testimonial,
1346594304157125,entertainment,Rule 4
1346182517531637,product_showcase,
1346065047543384,product_showcase,
1345946480888574,product_showcase,
1345306664285889,testimonial,
1345078244308731,promotional_offer,
1343780507771838,product_showcase,
1343021194514436,product_showcase,
1342903657859523,entertainment,Rule 4
1341453201337902,entertainment,
1338845681598654,entertainment,
1338234978326391,product_showcase,
1337279821755240,testimonial,
1335888438561045,product_showcase,
1335769188572970,promotional_offer,
1335033898646499,product_showcase,
1334902295326326,product_showcase,
1334765412006681,entertainment,
1333003982182824,entertainment,
1332102135606342,entertainment,
1331572935659262,product_showcase,
1331454025671153,entertainment,
1331331365683419,unclear,store announcement
1330730632410159,product_showcase,
1330608282422394,product_showcase,
1328954135921142,product_showcase,
1328824802600742,entertainment,Rule 4
1328689345947621,entertainment,Rule 4
1327937396022816,product_showcase,
1327808739369015,entertainment,
1326487262834496,product_showcase,
1326269409522948,product_showcase,
1325582582924964,entertainment,
1324792469670642,product_showcase,
1324710163012206,entertainment,
1324651716351384,entertainment,
1323963873086835,entertainment,Rule 4
1323777919772097,unclear,bare emoji
1323344009815488,product_showcase,
1323246173158605,product_showcase,
1323082336508322,product_showcase,
1322308459919043,entertainment,
1321772326639323,product_showcase,
1321431616673394,entertainment,
