"Date","Followers","Difference in followers from previous day"
"November 1","21272","3"
"November 2","21275","-4"
"November 3","21271","3"
"November 4","21274","2"
"November 5","21276","2"
"November 6","21278","2"
"November 7","21280","2"
"November 8","21282","4"
"November 9","21286","3"
"November 10","21289","3"
"November 11","21292","5"
"November 12","21297","4"
"November 13","21301","3"
"November 14","21304","3"
"November 15","21307","4"
"November 16","21311","5"
"November 17","21316","2"
"November 18","21318","3"
"November 19","21321","5"
"November 20","21326","-12"
"November 21","21314","2"
"November 22","21316","3"
"November 23","21319","2"
"November 24","21321","2"
"November 25","21323","5"
"November 26","21328","3"
"November 27","21331","1"
"November 28","21332","3"
"November 29","21335","2"
"November 30","21337","3"
