"Date","Total Viewers","New Viewers","Returning Viewers"
"December 1","680","272","408"
"December 2","713","409","304"
"December 3","824","488","336"
"December 4","644","383","261"
"December 5","851","360","491"
"December 6","796","439","357"
"December 7","723","329","394"
"December 8","729","387","342"
"December 9","882","456","426"
"December 10","934","477","457"
"December 11","983","455","528"
"December 12","1048","530","518"
"December 13","1294","668","626"
"December 14","801","462","339"
"December 15","904","462","442"
"December 16","1138","582","556"
"December 17","700","347","353"
"December 18","938","501","437"
"December 19","775","463","312"
"December 20","872","399","473"
"December 21","1225","673","552"
"December 22","1268","630","638"
"December 23","1037","560","477"
"December 24","803","384","419"
"December 25","770","402","368"
"December 26","773","379","394"
"December 27","802","410","392"
"December 28","811","461","350"
"December 29","1423","719","704"
"December 30","1136","575","561"
"December 31","988","528","460"
