"Date","Followers","Difference in followers from previous day"
"December 1","21340","2"
"December 2","21342","2"
"December 3","21344","3"
"December 4","21347","2"
"December 5","21349","3"
"December 6","21352","2"
"December 7","21354","3"
"December 8","21357","4"
"December 9","21361","3"
"December 10","21364","3"
"December 11","21367","3"
"December 12","21370","5"
"December 13","21375","2"
"December 14","21377","3"
"December 15","21380","3"
"December 16","21383","3"
"December 17","21386","2"
"December 18","21388","1"
"December 19","21389","4"
"December 20","21393","3"
"December 21","21396","2"
"December 22","21398","2"
"December 23","21400","3"
"December 24","21403","-14"
"December 25","21389","3"
"December 26","21392","2"
"December 27","21394","3"
"December 28","21397","2"
"December 29","21399","5"
"December 30","21404","3"
"December 31","21407","4"
